reviewer_code,item_id,domain_familiarity_1_5,novelty_A_1_5,novelty_B_1_5,excitement_A_1_5,excitement_B_1_5,feasibility_A_1_5,feasibility_B_1_5,expected_effectiveness_A_1_5,expected_effectiveness_B_1_5,overall_A_1_5,overall_B_1_5,baseline_grounding_A_1_5,baseline_grounding_B_1_5,experimental_rigor_A_1_5,experimental_rigor_B_1_5,mechanism_specificity_A_1_5,mechanism_specificity_B_1_5,implementation_readiness_A_1_5,implementation_readiness_B_1_5,preference_A_B_tie,confidence_1_5,rationale_required,concerns_optional,minutes_spent
indoor3d_expert,HUM-86deda094c,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-e25b32fdb4,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-24e9ff2417,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-73dd2b496f,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-ef372709a7,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-8fd147876f,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-69e55f3a47,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-0843f3efcd,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-d38d202fa3,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-4193564153,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-3c96e00bd8,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-85c40087d9,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-0da5f298a0,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-f75f44fda2,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-15d27b36c7,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-52eb3f805b,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-028263467e,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-b8761e7e81,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-04599c386c,,,,,,,,,,,,,,,,,,,,,,,,
indoor3d_expert,HUM-59fd7be1b0,,,,,,,,,,,,,,,,,,,,,,,,
